code;nom;adresse;ville;tt;TYPE;image
75018;L'OASIS;15, RUE DE LAGHOUAT;PARIS;48.887842, 2.354807;E;https://cdn.create.vista.com/api/media/small/18762129/stock-photo-the-interior-of-the-old-cafe
75005;PORT ROYAL;88, BOULEVARD DE PORT ROYAL;PARIS;48.839183, 2.339248;E;https://cdn.create.vista.com/api/media/small/402192752/stock-photo-luxury-wedding-table-decoration-special-event-table-set-fresh-flower
75015;VAUGELAS;4, RUE VAUGELAS;PARIS;48.834439, 2.294917;E;https://cdn.create.vista.com/api/media/small/175221742/stock-photo-group-young-friends-spending-time-together-cafe
75009;TOUR DES DAMES;8, RUE DE LA TOUR DES DAMES;paris;48.877809, 2.33344;E;https://cdn.create.vista.com/api/media/small/177185272/stock-photo-smiling-chef-frying-meat-restaurant-kitchen
75007;LEPRINCE;109, RUE SAINT-DOMINIQUE;PARIS;48.859301, 2.305783;E;https://cdn.create.vista.com/api/media/small/160869280/stock-photo-friends-taking-selfie-with-pizza-at-cafe
75020;SAINT-BLAISE;2, RUE DU CLOS;PARIS;48.85636, 2.4061019999999997;E;https://cdn.create.vista.com/api/media/small/166303566/stock-photo-barista-with-smartphone
75014;MAINE;203, AVENUE DU MAINE;PARIS;48.829248, 2.326551;E;https://cdn.create.vista.com/api/media/small/148869243/stock-photo-cheerful-waiter-in-restaurant
75012;BRECHE AUX LOUPS;32, RUE DE LA BRECHE AUX LOUPS;PARIS;48.837994, 2.394822;E;https://cdn.create.vista.com/api/media/small/207606248/stock-photo-abstract-blur-restaurant-coffee-shop-cafe-interior-background
75003;MADELEINE BEJART;4, RUE DE LA PERLE;PARIS;48.859373, 2.3619310000000002;E;https://cdn.create.vista.com/api/media/small/316710298/stock-photo-cropped-view-man-eating-delicious-warm-salad-restaurant
75014;LES ARTISTES;55-57, RUE DU MONTPARNASSE;PARIS;48.841966, 2.325587;S;https://cdn.create.vista.com/api/media/small/99496688/stock-photo-interior-of-a-luxury-hotel-restaurant
75005;JARDIN DES PLANTES;18-22, RUE POLIVEAU;PARIS;48.840346, 2.359412;E;https://cdn.create.vista.com/api/media/small/160869304/stock-photo-friends-eating-pizza-in-cafe
75013;;;;;S;
75013;CHARCOT;15, RUE CHARCOT;PARIS;48.830738, 2.371272;E;https://cdn.create.vista.com/api/media/small/177186386/stock-photo-smiling-chef-showing-cooked-vegetables-meat-plate
75010;CLAUDE VELLEFAUX;66, AVENUE CLAUDE VELLEFAUX;PARIS;48.876954, 2.370357;S;https://cdn.create.vista.com/api/media/small/426066748/stock-photo-young-waiter-writing-notebook-gadgets-barista-working-background
